Iterations,Wide,Narrow
69100,0.0071281,0.00168713
69200,0.00775516,0.00161658
69300,0.00808335,0.00160353
69400,0.007669,0.00160958
69500,0.00799636,0.00169179
69600,0.00773122,0.00158361
69700,0.00820524,0.00174156
69800,0.00779309,0.00153882
69900,0.00841292,0.00150706
70000,0.0081487,0.00139976
70100,0.00832574,0.00150044
70200,0.00820903,0.00167624
70300,0.00882474,0.00173859
70400,0.00973112,0.00181956
70500,0.00917489,0.00184399
70600,0.00993242,0.00196207
70700,0.0101054,0.00196751
70800,0.0105687,0.00206639
70900,0.01045,0.001997
71000,0.0100417,0.00187188
71100,0.00992401,0.0018588
71200,0.0102404,0.00192011
71300,0.0107003,0.00186987
71400,0.0117355,0.00189392
71500,0.012048,0.00188088
71600,0.0125034,0.00186787
71700,0.0132447,0.00185491
71800,0.0131237,0.00180511
71900,0.0132894,0.00184749
72000,0.0134546,0.00192651
72100,0.0134766,0.00195024
72200,0.0126432,0.00201057
72300,0.0126663,0.00216226
72400,0.0129736,0.00220385
72500,0.0131381,0.00222707
72600,0.0140111,0.00226845
72700,0.0141738,0.00223691
72800,0.0137704,0.00218727
72900,0.0140741,0.00211962
73000,0.014377,0.00219719
73100,0.013975,0.00218402
73200,0.0144178,0.0021528
73300,0.0135956,0.00230223
73400,0.0136171,0.00221685
73500,0.0133583,0.00231176
73600,0.0131003,0.00238843
73700,0.013262,0.00230328
73800,0.0128653,0.00229009
73900,0.0128876,0.00243811
74000,0.0129098,0.00237113
74100,0.0130709,0.00237576
74200,0.0137864,0.00238038
74300,0.0138073,0.00234937
74400,0.0135515,0.00217613
74500,0.0139871,0.00193231
74600,0.0137317,0.0018488
74700,0.014166,0.00181866
74800,0.0137734,0.00189476
74900,0.0148936,0.0018293
75000,0.0151873,0.00172873
75100,0.014795,0.00185751
75200,0.0148143,0.00184516
75300,0.0149702,0.00179769
75400,0.0143067,0.0016977
75500,0.0150083,0.00168561
75600,0.0151633,0.00174357
75700,0.0147741,0.00167901
75800,0.0142501,0.00173683
75900,0.0135919,0.00172475
76000,0.0133418,0.00160823
76100,0.0137685,0.00161374
76200,0.0141942,0.0014803
76300,0.014214,0.00150331
76400,0.0134254,0.00150894
76500,0.014119,0.00153186
76600,0.0134669,0.0014165
76700,0.0134876,0.00142222
76800,0.0135082,0.00147962
76900,0.0132611,0.00145083
77000,0.0127472,0.00145648
77100,0.0127687,0.00153078
77200,0.0122569,0.00143346
77300,0.0126784,0.00131927
77400,0.0128329,0.00123957
77500,0.0131198,0.00126254
77600,0.0138039,0.00125134
77700,0.0136914,0.00115501
77800,0.0135792,0.00104191
77900,0.0135994,0.00104802
78000,0.0142794,0.00112199
78100,0.0142987,0.00122966
78200,0.0141862,0.0013032
78300,0.0139427,0.00124134
78400,0.013831,0.00116276
78500,0.0131951,0.000983226
78600,0.0130847,0.00102304
78700,0.0129745,0.00106274
78800,0.0129953,0.00108556
78900,0.0126246,0.00115863
79000,0.0130366,0.0010305
79100,0.0131873,0.00100307
79200,0.0132077,0.000975712
79300,0.0129684,0.000998491
79400,0.0136372,0.000987876
79500,0.0139159,0.00104388
79600,0.0143232,0.00114961
79700,0.0138254,0.00115545
79800,0.0135868,0.00107836
79900,0.0136065,0.00101802
80000,0.0138835,0.0011398
80100,0.0146738,0.00117867
80200,0.0144354,0.00106893
80300,0.0141976,0.00109131
80400,0.0143444,0.00114655
80500,0.0146187,0.00120166
80600,0.0152755,0.00125663
80700,0.0159307,0.00119667
80800,0.0153103,0.00115323
80900,0.0148187,0.00110991
81000,0.0145824,0.00101767
81100,0.0143468,0.00100726
81200,0.0146187,0.000980569
81300,0.0143836,0.000986503
81400,0.0145284,0.000764805
81500,0.0139151,0.000787228
81600,0.0140601,0.000647411
81700,0.0144567,0.000637525
81800,0.0140974,0.000546769
81900,0.0148701,0.000488553
82000,0.0146367,0.000317503
82100,0.0151561,0.000324187
82200,0.0150481,0.000298654
82300,0.0149403,0.00046615
82400,0.0150827,0.000424446
82500,0.0152247,0.0005593
82600,0.0149926,0.000597695
82700,0.0146365,0.000684005
82800,0.0151515,0.000626256
82900,0.0147961,0.000520754
83000,0.0143176,0.000606845
83100,0.0149549,0.000549397
83200,0.0149722,0.000396648
83300,0.0149894,0.000434916
83400,0.0152535,0.000473091
83500,0.0150238,0.000527025
83600,0.0159027,0.000628321
83700,0.0162877,0.000602883
83800,0.0161804,0.00060909
83900,0.0169322,0.000631057
84000,0.0167019,0.000621461
84100,0.0168393,0.000643361
84200,0.0163651,0.00058662
84300,0.0163805,0.00059281
84400,0.0161519,0.000708749
84500,0.0166548,0.000730442
84600,0.0164264,0.000799013
84700,0.016077,0.000804923
84800,0.0160927,0.000732787
84900,0.0163507,0.000660821
85000,0.0168504,0.000729152
85100,0.0165022,0.000641808
85200,0.0171213,0.000663401
85300,0.0168942,0.000545309
85400,0.0163061,0.000504977
85500,0.016201,0.000588569
85600,0.0156151,0.000563742
85700,0.0156311,0.000508087
85800,0.0160069,0.000452562
85900,0.0156629,0.000397167
86000,0.0159182,0.000388066
86100,0.0160533,0.000394357
86200,0.0159493,0.000293163
86300,0.0160841,0.000345555
86400,0.0159803,0.000305922
86500,0.0157577,0.000220481
86600,0.0158922,0.000242211
86700,0.0162639,0.000263892
86800,0.0163975,0.000209288
86900,0.0164124,0.000124351
87000,0.0163089,0.000161304
87100,0.0165602,0.000182978
87200,0.0163388,0.000159071
87300,0.0165895,0.000165538
87400,0.0162507,0.000202275
87500,0.0162656,0.000223803
87600,0.0161631,0.000230174
87700,0.0164128,0.000176169
87800,0.0165447,9.21E-05
87900,0.0163251,5.35E-05
88000,0.0162229,0.000135202
88100,0.0162377,0.000156659
88200,0.0161359,0.000103044
88300,0.0162674,0.000154465
88400,0.0163986,0.00022074
88500,0.0160643,0.000331728
88600,0.0165439,0.000397654
88700,0.0167904,0.000478351
88800,0.0169205,0.000469446
88900,0.0169344,0.000401014
89000,0.0175266,0.000377346
89100,0.0175399,0.000249758
89200,0.0175531,0.000196639
89300,0.0180273,0.000321479
89400,0.0178097,0.000268399
89500,0.0175925,0.000259798
89600,0.017261,0.000265987
89700,0.0171597,0.000198392
89800,0.0171732,0.000278323
89900,0.0163852,0.000255028
90000,0.016514,0.000231785
90100,0.0168709,0.000296724
90200,0.0168847,0.000317503
90300,0.0166705,0.000220989
90400,0.0166845,0.000344283
90500,0.0163573,0.000379564
90600,0.0161444,0.000385552
90700,0.0158184,0.000376936
90800,0.0161734,0.000368339
90900,0.0165276,0.00035976
91000,0.0166548,0.000365744
91100,0.0166687,0.000386242
91200,0.0165697,0.000319627
91300,0.0165836,0.000354626
91400,0.0163723,0.000404027
91500,0.016499,0.000438857
91600,0.0166254,0.000314684
91700,0.0164147,0.000277375
91800,0.016653,0.000297813
91900,0.0168908,0.000332606
92000,0.016233,0.000367325
92100,0.016359,0.000272642
92200,0.0162614,0.000393474
92300,0.0160526,0.000471028
92400,0.0164011,0.000505446
92500,0.0158587,0.000353795
92600,0.0158732,0.000416849
92700,0.0156657,0.000479767
92800,0.0157913,0.0004142
92900,0.0155843,0.000391512
93000,0.0160418,0.000539636
93100,0.0157243,0.000573722
93200,0.0156285,0.000494136
93300,0.0154225,0.00041472
93400,0.0148864,0.00019378
93500,0.0146816,0.000129009
93600,0.0144773,7.82E-06
93700,0.0147129,4.23E-05
