Iterations,Wide,Narrow
45000,0.943911,0.946306
45100,0.943759,0.946341
45200,0.943822,0.946377
45300,0.944528,0.94644
45400,0.943732,0.946421
45500,0.944009,0.946511
45600,0.944071,0.946546
45700,0.943494,0.946554
45800,0.943769,0.946288
45900,0.943407,0.946351
46000,0.94347,0.946223
46100,0.943321,0.946231
46200,0.943384,0.946023
46300,0.943446,0.946031
46400,0.943718,0.945986
46500,0.94357,0.945914
46600,0.943423,0.94603
46700,0.943276,0.945905
46800,0.943338,0.945887
46900,0.944021,0.945922
47000,0.944702,0.945851
47100,0.945586,0.945833
47200,0.946466,0.945789
47300,0.945904,0.945772
47400,0.945755,0.945781
47500,0.94581,0.945895
47600,0.945457,0.945798
47700,0.945513,0.945833
47800,0.944146,0.945842
47900,0.94461,0.945851
48000,0.94487,0.945964
48100,0.94331,0.945998
48200,0.943168,0.946032
48300,0.942222,0.945989
48400,0.942886,0.945971
48500,0.943548,0.946057
48600,0.943007,0.946013
48700,0.944065,0.946022
48800,0.942529,0.946081
48900,0.941993,0.945757
49000,0.943047,0.945893
49100,0.942513,0.945952
49200,0.942968,0.945732
49300,0.942041,0.94569
49400,0.941119,0.945597
49500,0.942163,0.945606
49600,0.942812,0.945539
49700,0.943067,0.945423
49800,0.942735,0.945557
49900,0.942404,0.945541
50000,0.943242,0.94565
50100,0.943299,0.945734
50200,0.944519,0.945717
50300,0.944961,0.945825
50400,0.946172,0.945982
50500,0.945839,0.945941
50600,0.945314,0.945949
50700,0.945367,0.946055
50800,0.945229,0.946038
50900,0.944327,0.946022
51000,0.944382,0.946005
51100,0.944626,0.946013
51200,0.943921,0.946094
51300,0.944165,0.946077
51400,0.944598,0.946036
51500,0.944463,0.946019
51600,0.944517,0.945906
51700,0.944006,0.94589
51800,0.943685,0.945729
51900,0.943553,0.945809
52000,0.943795,0.945745
52100,0.943103,0.945753
52200,0.942786,0.945738
52300,0.942843,0.945746
52400,0.943641,0.945778
52500,0.942769,0.945548
52600,0.94301,0.945651
52700,0.943435,0.945588
52800,0.944226,0.945597
52900,0.944279,0.945699
53000,0.943964,0.94566
53100,0.943651,0.945621
53200,0.94334,0.94563
53300,0.943759,0.945661
53400,0.94454,0.945716
53500,0.9455,0.945841
53600,0.946457,0.945779
53700,0.945419,0.94567
53800,0.946011,0.945586
53900,0.945699,0.945478
54000,0.945208,0.945509
54100,0.944539,0.945518
54200,0.944949,0.945503
54300,0.944283,0.945465
54400,0.945228,0.94568
54500,0.944563,0.945665
54600,0.944792,0.94581
54700,0.945376,0.945818
54800,0.945247,0.945826
54900,0.945296,0.945902
55000,0.945168,0.945864
55100,0.945747,0.945803
55200,0.946147,0.945788
55300,0.94637,0.945773
55400,0.946768,0.945871
55500,0.947164,0.945743
55600,0.947034,0.945706
55700,0.947777,0.945781
55800,0.948692,0.945856
55900,0.94943,0.945953
56000,0.949818,0.945938
56100,0.950378,0.945967
56200,0.950244,0.94593
56300,0.949937,0.94587
56400,0.949804,0.945723
56500,0.950188,0.94573
56600,0.949368,0.945716
56700,0.949409,0.94601
56800,0.949791,0.945863
56900,0.948976,0.945892
57000,0.949187,0.945987
57100,0.949909,0.945841
57200,0.950968,0.94587
57300,0.951174,0.945855
57400,0.950703,0.945688
57500,0.950233,0.945804
57600,0.950271,0.945747
57700,0.950815,0.945711
57800,0.950684,0.945804
57900,0.951225,0.945812
58000,0.950758,0.94569
58100,0.950627,0.945719
58200,0.950665,0.94579
58300,0.950535,0.945669
58400,0.949739,0.945655
58500,0.949612,0.945726
58600,0.948987,0.945563
58700,0.949357,0.945613
58800,0.950223,0.945727
58900,0.950095,0.945628
59000,0.949638,0.945614
59100,0.949841,0.94558
59200,0.951029,0.945629
59300,0.9509,0.945784
59400,0.950609,0.945833
59500,0.951135,0.945945
59600,0.950681,0.94591
59700,0.950555,0.945687
59800,0.950753,0.945631
59900,0.95014,0.945576
60000,0.949691,0.945708
60100,0.949081,0.945757
60200,0.949119,0.945972
60300,0.948997,0.945999
60400,0.949035,0.946006
60500,0.949877,0.945971
60600,0.949593,0.945957
60700,0.94963,0.946087
60800,0.949987,0.946135
60900,0.949385,0.946162
61000,0.949422,0.946107
61100,0.94946,0.946236
61200,0.948861,0.946221
61300,0.9489,0.946289
61400,0.948146,0.946132
61500,0.947711,0.946159
61600,0.947593,0.946226
61700,0.947475,0.946313
61800,0.947043,0.946359
61900,0.947555,0.946567
62000,0.947908,0.946633
62100,0.948104,0.946739
62200,0.947986,0.946865
62300,0.947401,0.94693
62400,0.946973,0.946835
62500,0.946392,0.94674
62600,0.946122,0.946785
62700,0.946319,0.946691
62800,0.946205,0.946815
62900,0.945474,0.946641
63000,0.945979,0.946468
63100,0.945713,0.946414
63200,0.945755,0.946321
63300,0.945182,0.946228
63400,0.944918,0.946293
63500,0.945114,0.946339
63600,0.945157,0.946285
63700,0.946268,0.946272
63800,0.946308,0.946277
63900,0.947109,0.946205
64000,0.947756,0.94627
64100,0.947339,0.946451
64200,0.947075,0.94634
64300,0.947417,0.946442
64400,0.947002,0.94639
64500,0.946891,0.946395
64600,0.947231,0.946459
64700,0.94727,0.946329
64800,0.948058,0.946373
64900,0.947946,0.946244
65000,0.947684,0.946288
65100,0.948767,0.946237
65200,0.948952,0.946223
65300,0.948988,0.946344
65400,0.94932,0.94633
65500,0.949949,0.946336
65600,0.950428,0.946284
